Date,Temp
1981-01-01,20.7
1981-01-02,17.9
1981-01-03,18.8
1981-01-04,14.6
1981-01-05,15.8
1981-01-06,15.8
1981-01-07,15.8
1981-01-08,17.4
1981-01-09,21.8
1981-01-10,20.0
1981-01-11,16.2
1981-01-12,13.3
1981-01-13,16.7
1981-01-14,21.5
1981-01-15,25.0
1981-01-16,20.7
1981-01-17,20.6
1981-01-18,24.8
1981-01-19,17.7
1981-01-20,15.5
1981-01-21,18.2
1981-01-22,19.3
1981-01-23,17.4
1981-01-24,16.5
1981-01-25,18.7
1981-01-26,19.0
1981-01-27,17.2
1981-01-28,16.8
1981-01-29,18.5
1981-01-30,20.1
1981-01-31,21.4
1981-02-01,22.0
1981-02-02,21.7
1981-02-03,19.6
1981-02-04,18.3
1981-02-05,17.8
1981-02-06,16.9
1981-02-07,17.5
1981-02-08,19.1
1981-02-09,20.2
1981-02-10,21.8
1981-02-11,22.5
1981-02-12,23.1
1981-02-13,24.0
1981-02-14,25.3
1981-02-15,24.8
1981-02-16,23.9
1981-02-17,22.4
1981-02-18,21.7
1981-02-19,20.6
1981-02-20,19.5
